State,Q1 P,Q2 P,Q3 P,Q4 P
AK,25131,26300,30559,25507
AL,87736,88163,88390,90768
AR,80120,88462,96218,84062
AZ,305905,325897,323023,305113
CA,1298938,1383771,1369303,1400132
CO,187168,144483,164497,157433
CT,189102,192220,189225,194291
DC,26508,26430,22070,24869
DE,41780,47706,47282,46214
FL,388099,487212,418203,410278
GA,232236,249136,231487,230903
HI,30780,28359,24159,20119
IA,96352,119531,116708,118248
ID,57335,58548,56800,57215
IL,643064,484509,491707,476709
IN,354284,352756,356961,356720
KS,75979,166480,67111,69183
KY,349581,358021,323525,338215
LA,278761,327521,312151,314996
MA,370548,402406,358209,351439
MD,259706,261224,243374,258814
ME,64007,66177,63124,63113
MI,547984,588288,628851,557729
MN,348338,366243,352458,364751
MO,234962,227485,240261,236684
MS,64017,64076,60973,59599
MT,62226,67844,68216,74079
NC,272196,231330,266821,225020
ND,24135,24622,24309,24842
NE,46674,45280,46328,47472
NH,30135,34163,33658,34404
NJ,267356,274800,273600,270661
NM,121854,120242,117126,103590
NV,100701,102002,102809,101381
NY,935486,1050151,1006976,985715
OH,956755,1206484,901932,881777
OK,102738,105511,103919,104759
OR,261057,265531,256155,255274
PA,769336,1157342,815996,814812
RI,87930,91120,89219,86467
SC,61172,72971,77688,76976
SD,17831,17565,16665,18257
TN,240025,238723,235638,243112
TX,392973,398603,402546,402955
UT,60097,64022,67301,61884
VA,189336,189501,189533,191094
VT,40976,41696,39916,40320
WA,367798,356957,475100,358510
WI,266911,264042,257465,257622
WV,207611,221350,137572,213610
WY,11414,11558,11211,11023
